neuron,t
262,14.1478
5175,14.1578
6270,14.1594
2125,14.1563
9114,14.1374
841,14.1502
953,14.1366
2918,14.201
421,14.1407
3826,14.182
3960,14.195
482,14.1416
8846,14.2237
3161,14.1891
3624,14.1428
4828,14.1772
4997,14.1731
1711,14.1842
1391,14.1485
7084,14.1496
8651,14.1472
7716,14.1858
9678,14.1749
2291,14.1619
7048,14.1931
2580,14.1842
743,14.1786
1535,14.163
5665,14.1744
5509,14.1887
112,14.2029
8485,14.1703
4343,14.1663
717,14.1664
5193,14.1625
4778,14.1592
1913,14.1646
4131,14.1675
4642,14.2053
7510,14.1808
6806,14.2006
4113,14.1777
8670,14.2084
896,14.2531
5036,14.1775
436,14.2083
7662,14.1844
7998,14.1842
4330,14.2064
5601,14.1717
1212,14.1942
3052,14.2237
2251,14.1771
3342,14.1931
905,14.1831
1362,14.2229
2962,14.1931
4888,14.1876
874,14.2267
8610,14.1837
4521,14.1931
9781,14.1842
4205,14.1824
8313,14.1985
5135,14.1751
6621,14.1942
2163,14.207
2819,14.182
3967,14.189
1371,14.182
8759,14.1942
705,14.2515
6395,14.1993
9397,14.1842
8109,14.203
6460,14.182
8389,14.1841
2704,14.235
8409,14.2092
8063,14.1931
5802,14.1861
3915,14.2206
2297,14.1876
1884,14.2175
1036,14.1862
9597,14.1973
9072,14.1942
8988,14.1942
6861,14.1869
4601,14.2095
4356,14.1931
3602,14.1942
3014,14.2041
2877,14.2188
2423,14.216
2224,14.193
1701,14.1988
330,14.1891
8468,14.212
5412,14.1931
1208,14.2339
6901,14.1942
5078,14.2119
1400,14.2519
1312,14.192
4854,14.2091
8132,14.1942
4327,14.1942
398,14.2085
1383,14.2175
4470,14.1942
9297,14.1976
1634,14.1931
2958,14.1933
2717,14.1942
75,14.1931
5901,14.2217
4860,14.2055
2299,14.2323
614,14.2237
386,14.2138
5088,14.248
8383,14.224
5241,14.1962
5577,14.2347
6130,14.2397
973,14.248
571,14.2454
6961,14.2657
6311,14.2091
9476,14.2134
5630,14.2115
8596,14.2003
1321,14.2133
5523,14.212
2869,14.2103
5920,14.2171
186,14.206
2429,14.2117
8424,14.2195
9306,14.248
9633,14.2237
8825,14.2123
1219,14.218
6519,14.2237
2199,14.2262
4164,14.258
4417,14.2261
960,14.2295
4707,14.2845
6792,14.2841
5347,14.2532
6062,14.222
5962,14.2532
1172,14.2555
8953,14.2237
2359,14.2236
7195,14.262
7514,14.231
643,14.2684
4586,14.2532
7549,14.2475
7327,14.2459
6139,14.232
4263,14.2532
2473,14.2313
2043,14.2243
1042,14.2923
8030,14.3078
3152,14.2367
411,14.2327
2922,14.2401
7211,14.228
6525,14.2315
2967,14.2532
4747,14.2592
8502,14.2492
126,14.2301
5867,14.2542
1788,14.2296
2462,14.248
7402,14.2994
1694,14.243
3869,14.2886
2742,14.2818
4181,14.2434
3038,14.2485
9016,14.2607
773,14.2943
3830,14.248
1433,14.3081
9185,14.248
1766,14.248
4087,14.2553
9634,14.2547
996,14.2736
2830,14.2532
2173,14.248
2750,14.2454
6611,14.2532
4511,14.2917
4344,14.2467
9873,14.266
4690,14.2722
4426,14.2555
7605,14.3205
