t,vm
34.957,13.041
34.973,13.131
35.047,13.182
35.168,13.203
35.205,13.278
35.285,13.325
35.383,12.760
35.405,12.846
35.414,12.940
35.421,13.136
35.425,13.233
35.438,12.824
35.443,12.922
35.466,12.406
35.473,12.502
35.475,12.001
35.475,12.101
35.476,12.200
35.481,12.297
35.500,12.386
35.509,11.880
35.523,11.971
35.527,12.069
35.549,12.156
35.569,12.244
35.599,11.726
35.606,11.821
35.610,11.919
35.623,12.011
35.643,12.099
35.647,12.197
35.692,12.270
35.705,12.361
35.717,12.454
35.746,12.536
35.747,12.636
35.759,12.728
35.762,12.826
35.762,12.926
35.776,13.017
35.780,13.114
35.783,12.612
35.797,12.703
35.814,12.793
35.817,12.991
35.830,13.182
35.831,13.282
35.849,13.370
35.852,13.467
35.861,12.961
35.866,13.058
35.886,12.545
35.887,12.645
35.888,12.744
35.904,12.834
35.904,12.934
35.905,13.033
35.910,13.130
35.913,13.228
35.929,13.318
35.930,12.816
35.933,12.315
35.949,12.405
35.957,12.500
35.962,12.597
35.978,12.687
35.985,12.782
35.988,12.881
36.014,12.964
36.068,13.028
36.109,13.102
36.156,12.571
36.158,12.670
36.217,12.733
36.217,12.833
36.222,13.030
36.241,13.117
